id_perusahaan,nama_perusahaan,alamat,kota,provinsi,kode_pos,telepon,email,tanggal_berdiri,jumlah_karyawan,jenis_usaha
1,Perusahaan Kuliner 1,Jl. Raya No. 58,Jakarta,DKI Jakarta,13278,8796233790,contact1@kuliner.com,1999-05-11,130,Restoran
2,Perusahaan Kuliner 2,Jl. Raya No. 115,Bandung,Jawa Barat,28289,8790779946,contact2@kuliner.com,1993-06-27,351,Katering
3,Perusahaan Kuliner 3,Jl. Raya No. 280,Surabaya,Jawa Timur,21395,8634036506,contact3@kuliner.com,2004-05-10,21,Kafe
4,Perusahaan Kuliner 4,Jl. Raya No. 16,Medan,Sumatera Utara,22280,8234760738,contact4@kuliner.com,1997-12-01,263,Food Truck
5,Perusahaan Kuliner 5,Jl. Raya No. 14,Yogyakarta,DI Yogyakarta,83563,8213500298,contact5@kuliner.com,2014-05-13,337,Bistro
6,Perusahaan Kuliner 6,Jl. Raya No. 280,Semarang,Jawa Tengah,64987,8236696312,contact6@kuliner.com,2005-04-14,306,Warung Makan
7,Perusahaan Kuliner 7,Jl. Raya No. 143,Denpasar,Bali,10851,8814763202,contact7@kuliner.com,2017-06-02,86,Bakery
8,Perusahaan Kuliner 8,Jl. Raya No. 217,Makassar,Sulawesi Selatan,54597,8298362082,contact8@kuliner.com,1995-04-17,115,Kedai Kopi
9,Perusahaan Kuliner 9,Jl. Raya No. 173,Jakarta,DKI Jakarta,23396,8099585092,contact9@kuliner.com,2002-12-05,54,Restoran
10,Perusahaan Kuliner 10,Jl. Raya No. 184,Bandung,Jawa Barat,55082,8648245888,contact10@kuliner.com,1999-01-01,418,Katering
11,Perusahaan Kuliner 11,Jl. Raya No. 23,Surabaya,Jawa Timur,70217,8575770529,contact11@kuliner.com,1994-04-01,477,Kafe
12,Perusahaan Kuliner 12,Jl. Raya No. 194,Medan,Sumatera Utara,20328,8592749116,contact12@kuliner.com,1999-12-23,429,Food Truck
