id_transaksi,id_pelanggan,id_produk,id_perusahaan,jumlah,total_harga,metode_pembayaran,tanggal_transaksi,status_transaksi
1,1696,31,46,5,359375,E-Wallet,2023-11-18 16:23:15,Diproses
2,1575,21,43,6,170208,E-Wallet,2023-10-06 07:25:32,Diproses
3,1289,226,9,7,439474,Tunai,2023-02-10 05:50:11,Selesai
4,1735,135,45,10,175120,Tunai,2023-10-08 09:28:25,Selesai
5,751,212,4,6,154698,Kartu Kredit,2023-12-21 13:32:23,Selesai
6,1630,248,3,4,205512,Debit,2023-02-07 17:16:37,Batal
7,1315,38,24,8,82016,E-Wallet,2023-10-20 05:49:53,Selesai
8,1551,134,19,6,313098,Debit,2023-09-25 15:45:17,Batal
9,678,231,36,5,393175,Transfer Bank,2023-04-17 21:58:20,Diproses
10,74,72,29,3,32586,Transfer Bank,2023-04-23 00:21:59,Selesai
11,453,190,5,10,874130,Debit,2023-10-05 05:07:38,Batal
12,629,82,40,10,916240,Debit,2023-07-04 13:58:32,Diproses
13,901,151,36,3,90669,Kartu Kredit,2023-02-26 21:43:21,Diproses
14,599,197,3,5,67420,Kartu Kredit,2023-01-11 21:01:21,Selesai
15,1195,156,50,3,85068,Transfer Bank,2023-01-05 16:28:11,Batal
16,746,261,42,9,239454,E-Wallet,2023-07-05 05:43:22,Diproses
17,1844,88,15,6,467286,Kartu Kredit,2023-08-17 00:29:55,Diproses
18,644,268,42,6,120750,E-Wallet,2023-12-03 02:11:36,Batal
19,1328,87,2,9,899928,E-Wallet,2023-03-10 02:43:43,Batal
20,1838,195,21,1,68289,Tunai,2023-05-13 23:05:30,Selesai
21,634,106,13,4,299228,Kartu Kredit,2023-04-19 02:05:20,Diproses
22,1594,62,2,4,394216,Debit,2023-07-13 17:03:43,Batal
23,1167,7,4,9,416124,Kartu Kredit,2023-10-15 22:08:33,Selesai
24,745,17,4,7,175602,Tunai,2023-05-08 23:18:11,Diproses
25,138,139,18,9,708120,Transfer Bank,2023-11-25 18:56:10,Diproses
26,1102,41,27,1,76291,E-Wallet,2023-08-09 02:02:49,Diproses
27,508,126,7,5,169090,Kartu Kredit,2023-09-25 20:27:39,Diproses
28,1757,126,7,4,135272,E-Wallet,2023-03-10 21:46:25,Selesai
29,1248,137,21,9,50823,Debit,2023-02-05 11:31:45,Diproses
30,390,33,6,3,18306,Transfer Bank,2023-04-28 13:56:08,Selesai
31,426,117,36,4,269632,Transfer Bank,2023-10-23 19:22:36,Diproses
32,978,238,20,2,179002,Transfer Bank,2023-12-09 09:29:13,Selesai
33,654,38,24,4,41008,E-Wallet,2023-02-15 04:59:10,Batal
34,171,244,1,4,114532,Tunai,2023-07-30 15:14:38,Diproses
35,441,250,41,5,39395,Transfer Bank,2023-01-04 17:30:05,Diproses
36,881,58,14,8,270496,Kartu Kredit,2023-08-17 17:17:44,Diproses
37,1259,234,49,1,13776,Debit,2023-10-21 01:00:40,Batal
38,1232,139,18,8,629440,Kartu Kredit,2023-05-08 15:08:28,Diproses
39,990,264,33,5,82720,Debit,2023-04-13 14:31:17,Diproses
40,510,175,10,5,145685,Transfer Bank,2023-07-15 08:52:49,Batal
